# Frequency, S11, S12, S21, S22
9.554811849479584396e+07,-5.928737606399999693e-01,-6.296988352599999672e+01,-6.328510889799999717e+01,-5.981380501399999883e-01
9.555212169735789299e+07,-5.937844000199999916e-01,-6.365732756199999898e+01,-6.330335578300000066e+01,-5.975818783799999867e-01
9.555612489991994202e+07,-5.941374299399999614e-01,-6.273386314399999719e+01,-6.340246687599999831e+01,-5.990772404299999909e-01
9.556012810248199105e+07,-5.931591962100000170e-01,-6.354189234700000100e+01,-6.202545072800000270e+01,-5.999735109699999569e-01
9.556413130504404008e+07,-5.948418278199999465e-01,-6.216939107400000353e+01,-6.410108203000000060e+01,-5.993183266699999567e-01
9.556813450760608912e+07,-5.951115451399999756e-01,-6.293185892200000353e+01,-6.334989402299999739e+01,-6.008910413200000411e-01
9.557213771016813815e+07,-5.952039610599999531e-01,-6.302400474600000280e+01,-6.228751451499999803e+01,-5.999763019099999539e-01
9.557614091273018718e+07,-5.939589361399999490e-01,-6.290542654600000105e+01,-6.167162374600000163e+01,-6.014336471100000248e-01
9.558014411529223621e+07,-5.946672361899999482e-01,-6.279277868500000181e+01,-6.238808013799999941e+01,-5.999248487299999599e-01
9.558414731785428524e+07,-5.951144242700000531e-01,-6.214760850500000089e+01,-6.116525612600000272e+01,-6.014726643700000208e-01
9.558815052041633427e+07,-5.962062582599999550e-01,-6.164663346500000074e+01,-6.219938083000000262e+01,-6.008025448999999574e-01
9.559215372297838330e+07,-5.968179082100000254e-01,-6.140350291899999746e+01,-6.157788662899999821e+01,-6.015736673699999537e-01
9.559615692554043233e+07,-5.967287176600000187e-01,-6.165183966899999746e+01,-6.135687840300000317e+01,-6.004999874999999987e-01
9.560016012810248137e+07,-5.981135053799999657e-01,-6.126840589700000095e+01,-6.113419588200000021e+01,-6.038607716799999636e-01
9.560416333066453040e+07,-5.962939452400000118e-01,-6.195810867299999813e+01,-6.157766684399999946e+01,-6.019144457099999679e-01
9.560816653322657943e+07,-5.963085239400000015e-01,-6.075428662499999888e+01,-6.274567772200000348e+01,-6.028439438699999542e-01
9.561216973578862846e+07,-5.969413319499999870e-01,-6.083369082400000138e+01,-6.088595340700000236e+01,-6.031999427699999972e-01
9.561617293835067749e+07,-5.985404449200000254e-01,-6.190200058199999944e+01,-6.205727495400000038e+01,-6.017146449400000430e-01
9.562017614091272652e+07,-5.953852273999999944e-01,-6.151920586699999660e+01,-6.087991659899999775e+01,-6.035163181199999505e-01
9.562417934347477555e+07,-5.980678020899999892e-01,-6.183206337000000019e+01,-6.107516943400000287e+01,-6.040481425799999471e-01
