# Frequency, S11, S12, S21, S22
9.556413130504404008e+07,-5.996301265200000286e-01,-6.577720566600000041e+01,-6.538686757300000352e+01,-6.001768242899999661e-01
9.556813450760608912e+07,-6.002486256300000322e-01,-6.450902198800000065e+01,-6.534241385699999682e+01,-6.011115432800000491e-01
9.557213771016813815e+07,-6.010300110999999834e-01,-6.422537978100000089e+01,-6.375097813699999705e+01,-5.987998610100000452e-01
9.557614091273018718e+07,-6.026468485899999505e-01,-6.573486986300000012e+01,-6.487737533799999312e+01,-5.989530746200000255e-01
9.558014411529223621e+07,-6.016349189799999886e-01,-6.428423646800000313e+01,-6.568779999299999872e+01,-5.994271715000000222e-01
9.558414731785428524e+07,-6.017221397199999933e-01,-6.426572426200000621e+01,-6.468301632200000029e+01,-5.987248391099999623e-01
9.558815052041633427e+07,-6.049072198399999545e-01,-6.383992125200000345e+01,-6.521354242399999634e+01,-6.020615002700000495e-01
9.559215372297838330e+07,-6.025024277599999589e-01,-6.550109183399999324e+01,-6.484898601400000473e+01,-6.013353664899999673e-01
9.559615692554043233e+07,-6.044383568800000273e-01,-6.602615310299999862e+01,-6.496609601900000541e+01,-6.015528046500000503e-01
9.560016012810248137e+07,-6.002381381200000421e-01,-6.505723758999999973e+01,-6.462160624899999561e+01,-6.017156602100000029e-01
9.560416333066453040e+07,-6.046106466099999688e-01,-6.493427352899999505e+01,-6.631110419200000194e+01,-6.015430834099999569e-01
9.560816653322657943e+07,-6.048462340500000423e-01,-6.496112615399999868e+01,-6.565229225900000642e+01,-6.021243540399999761e-01
9.561216973578862846e+07,-6.038087545200000461e-01,-6.475485135399999592e+01,-6.548676303199999893e+01,-6.020541424599999969e-01
9.561617293835067749e+07,-6.062548052599999737e-01,-6.564915200400000117e+01,-6.560908498099999520e+01,-6.027538873300000155e-01
9.562017614091272652e+07,-6.048832945600000066e-01,-6.492862795599999970e+01,-6.516348803399999667e+01,-6.025108135100000206e-01
9.562417934347477555e+07,-6.047182554500000196e-01,-6.539307088399999657e+01,-6.512617079100000694e+01,-6.044068821800000491e-01
9.562818254603682458e+07,-6.041775043899999531e-01,-6.459893042199999513e+01,-6.476715601499999764e+01,-6.042816197200000516e-01
9.563218574859887362e+07,-6.054786317800000539e-01,-6.569811067700000251e+01,-6.560389802999999631e+01,-6.036220129599999540e-01
9.563618895116092265e+07,-6.067087995700000125e-01,-6.461385078300000373e+01,-6.575711526099999560e+01,-6.054860675700000083e-01
9.564019215372297168e+07,-6.057275723899999686e-01,-6.465351276200000541e+01,-6.483680675700000506e+01,-6.051730061100000224e-01
9.564419535628502071e+07,-6.046252423000000320e-01,-6.481794046000000264e+01,-6.464821551999999372e+01,-6.030965321500000309e-01
9.564819855884708464e+07,-6.048094524799999538e-01,-6.570217055300000197e+01,-6.500325834599999553e+01,-6.037816083600000550e-01
9.565220176140913367e+07,-6.059143866799999723e-01,-6.558762814799999319e+01,-6.452811007500000073e+01,-6.055497904800000164e-01
9.565620496397118270e+07,-6.065029053999999586e-01,-6.627741765899999393e+01,-6.409721046999999317e+01,-6.032939915499999639e-01
9.566020816653323174e+07,-6.075008886599999602e-01,-6.485515705599999592e+01,-6.568521447000000535e+01,-6.058079462700000084e-01
9.566421136909528077e+07,-6.060947309699999952e-01,-6.472486615600000448e+01,-6.456011273199999323e+01,-6.042604088699999876e-01
9.566821457165732980e+07,-6.062070628600000344e-01,-6.500947849499999620e+01,-6.452704158500000631e+01,-6.062198844799999708e-01
9.567221777421937883e+07,-6.076581200599999733e-01,-6.509723054100000184e+01,-6.505409367800000098e+01,-6.052143246200000215e-01
9.567622097678142786e+07,-6.064860560200000528e-01,-6.472069109400000286e+01,-6.499595947199999557e+01,-6.048724646199999944e-01
9.568022417934347689e+07,-6.082147970400000325e-01,-6.562606730100000618e+01,-6.510137950600000067e+01,-6.041706143299999665e-01
9.568422738190552592e+07,-6.064490476199999591e-01,-6.552830798300000481e+01,-6.496585358000000099e+01,-6.052829909100000405e-01
9.568823058446757495e+07,-6.065675230200000545e-01,-6.508755942700000219e+01,-6.553207084699999996e+01,-6.056516217099999766e-01
9.569223378702962399e+07,-6.070315004699999850e-01,-6.479598807099999647e+01,-6.400198338900000294e+01,-6.073404774699999731e-01
9.569623698959167302e+07,-6.075002171000000173e-01,-6.574225208999999381e+01,-6.539231800100000669e+01,-6.053883394100000315e-01
9.570024019215372205e+07,-6.091830488599999649e-01,-6.571193968999999413e+01,-6.524697245400000156e+01,-6.058613284899999618e-01
9.570424339471577108e+07,-6.094716036299999695e-01,-6.498467988100000525e+01,-6.495182053099999564e+01,-6.073946642099999904e-01
